product_code,product_name,stock_qty,rate,mrp,batch_no,expiry_date,strip_size,pack_number,unit_label,invoice_number,purchase_date,purchase_bill_no,supplier_code,distributor_name,distributor_address,drug_license_1,gstin,phone
45215,DERICIP 100,397,4,5,L030294,2026-11-01,10,10,,81,2025-07-26,25-26/0000002,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
44649,NASELIN N/D,7,44,60,NSD24006,2026-09-01,1,1,,81,2025-07-26,25-26/0000002,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
56647,FOLEYS CATHETER 14,1,88.14,125,P23G06,2028-04-01,1,1,,81,2025-07-26,25-26/0000002,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
56651,CETCIP SYP,1,15.6,20,GSL40457,2026-06-01,1,1,,81,2025-07-26,25-26/0000002,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
56655,SALMOL SYP,8,14.4,19,GA24097,2026-09-01,1,1,,81,2025-07-26,25-26/0000002,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
56656,CREMOLIX LIQUID,4,39,70,PL-40225,2026-09-01,1,1,,81,2025-07-26,25-26/0000002,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
56661,CUTS NILL CREAM ,2,24,70,509,2027-08-01,1,1,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56662,VIXON RUB 5ML,4,6,20,503,2027-10-01,1,1,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56667,STERISCOX 120,25,30.3,60,T240977,2027-04-01,10,10,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56668,PANTOSTRUM LS,60,39.2,65,PX8JP03,2026-04-01,10,10,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56669,RIFAXEMANIA 400,6,105,180,CO2405A,2026-03-01,10,10,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56685,ACEFLUR MR TAB,81,13.9,50,T4611,2027-04-01,10,10,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56690,GAMLO 5,46,2.3,6,CT24252254,2027-01-01,10,10,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56691,MOXIVIR 500 CAP,76,33,55,TCB021,2026-09-01,10,10,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56701,SENOPAR 125 SYP,5,10.95,22,L256A,2027-04-01,1,1,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56702,SENOPAR DS SYP,1,13.5,25,L2141N,2026-09-01,1,1,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
44249,LANCET,64,52,150,9019,2028-03-01,1,100,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56711,SILICONE FINGER BRUSH,2,61.75,80,61.75,2027-01-01,1,1,,2500073006579,2025-07-17,25-26/0000003,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56719,GLIDAPAFLOZIN M 5/500,90,27.3,90,24S2GTB129,2026-04-01,15,15,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
